step,loss,loss/mean,loss/std,lr,momentum
9,0.015145808458328247,0.015145808458328247,0.0017586366455700697,0.001,0.9
10,0.014663866721093655,0.014663866721093655,0.0016018361913869308,0.001,0.9
11,0.014143393374979496,0.014143393374979496,0.00160802577722988,0.001,0.9
12,0.013807090930640697,0.013807090930640697,0.00154311176161836,0.001,0.9
13,0.013501823879778385,0.013501823879778385,0.00148781829366398,0.001,0.9
14,0.013189384713768959,0.013189384713768959,0.0015653081579257405,0.001,0.9
15,0.012992971576750278,0.012992971576750278,0.0014900460729153468,0.001,0.9
16,0.012746541760861874,0.012746541760861874,0.001432828642536758,0.001,0.9
17,0.012572286650538445,0.012572286650538445,0.0014128544428365474,0.001,0.9
18,0.012348631396889687,0.012348631396889687,0.00134706941569525,0.001,0.9
19,0.012171151116490364,0.012171151116490364,0.0013879704514742567,0.001,0.9
20,0.012089008465409279,0.012089008465409279,0.0013528348569918107,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0624815858900547,0.0624815858900547,0.05779001131164418,0.001,0.9
2,0.029764335602521896,0.029764335602521896,0.0038841044397976057,0.001,0.9
3,0.023532172664999962,0.023532172664999962,0.002729457780130212,0.001,0.9
4,0.020566141232848167,0.020566141232848167,0.0023224526248452402,0.001,0.9
5,0.01874650828540325,0.01874650828540325,0.0020961353504528246,0.001,0.9
6,0.017435913905501366,0.017435913905501366,0.0020238639195176507,0.001,0.9
7,0.016523327678442,0.016523327678442,0.0017685966819996589,0.001,0.9
8,0.01573614962399006,0.01573614962399006,0.0017106118621187502,0.001,0.9
9,0.015145808458328247,0.015145808458328247,0.0017586366455700697,0.001,0.9
10,0.014663866721093655,0.014663866721093655,0.0016018361913869308,0.001,0.9
11,0.014143393374979496,0.014143393374979496,0.00160802577722988,0.001,0.9
12,0.013807090930640697,0.013807090930640697,0.00154311176161836,0.001,0.9
13,0.013501823879778385,0.013501823879778385,0.00148781829366398,0.001,0.9
14,0.013189384713768959,0.013189384713768959,0.0015653081579257405,0.001,0.9
15,0.012992971576750278,0.012992971576750278,0.0014900460729153468,0.001,0.9
16,0.012746541760861874,0.012746541760861874,0.001432828642536758,0.001,0.9
17,0.012572286650538445,0.012572286650538445,0.0014128544428365474,0.001,0.9
18,0.012348631396889687,0.012348631396889687,0.00134706941569525,0.001,0.9
19,0.012171151116490364,0.012171151116490364,0.0013879704514742567,0.001,0.9
20,0.012089008465409279,0.012089008465409279,0.0013528348569918107,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0624815858900547,0.0624815858900547,0.05779001131164418,0.001,0.9
2,0.029764335602521896,0.029764335602521896,0.0038841044397976057,0.001,0.9
3,0.023532172664999962,0.023532172664999962,0.002729457780130212,0.001,0.9
4,0.020566141232848167,0.020566141232848167,0.0023224526248452402,0.001,0.9
5,0.01874650828540325,0.01874650828540325,0.0020961353504528246,0.001,0.9
6,0.017435913905501366,0.017435913905501366,0.0020238639195176507,0.001,0.9
7,0.016523327678442,0.016523327678442,0.0017685966819996589,0.001,0.9
8,0.01573614962399006,0.01573614962399006,0.0017106118621187502,0.001,0.9
9,0.015145808458328247,0.015145808458328247,0.0017586366455700697,0.001,0.9
10,0.014663866721093655,0.014663866721093655,0.0016018361913869308,0.001,0.9
11,0.014143393374979496,0.014143393374979496,0.00160802577722988,0.001,0.9
12,0.013807090930640697,0.013807090930640697,0.00154311176161836,0.001,0.9
13,0.013501823879778385,0.013501823879778385,0.00148781829366398,0.001,0.9
14,0.013189384713768959,0.013189384713768959,0.0015653081579257405,0.001,0.9
15,0.012992971576750278,0.012992971576750278,0.0014900460729153468,0.001,0.9
16,0.012746541760861874,0.012746541760861874,0.001432828642536758,0.001,0.9
17,0.012572286650538445,0.012572286650538445,0.0014128544428365474,0.001,0.9
18,0.012348631396889687,0.012348631396889687,0.00134706941569525,0.001,0.9
19,0.012171151116490364,0.012171151116490364,0.0013879704514742567,0.001,0.9
20,0.012089008465409279,0.012089008465409279,0.0013528348569918107,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0624815858900547,0.0624815858900547,0.05779001131164418,0.001,0.9
2,0.029764335602521896,0.029764335602521896,0.0038841044397976057,0.001,0.9
3,0.023532172664999962,0.023532172664999962,0.002729457780130212,0.001,0.9
4,0.020566141232848167,0.020566141232848167,0.0023224526248452402,0.001,0.9
5,0.01874650828540325,0.01874650828540325,0.0020961353504528246,0.001,0.9
6,0.017435913905501366,0.017435913905501366,0.0020238639195176507,0.001,0.9
7,0.016523327678442,0.016523327678442,0.0017685966819996589,0.001,0.9
8,0.01573614962399006,0.01573614962399006,0.0017106118621187502,0.001,0.9
9,0.015145808458328247,0.015145808458328247,0.0017586366455700697,0.001,0.9
10,0.014663866721093655,0.014663866721093655,0.0016018361913869308,0.001,0.9
11,0.014143393374979496,0.014143393374979496,0.00160802577722988,0.001,0.9
12,0.013807090930640697,0.013807090930640697,0.00154311176161836,0.001,0.9
13,0.013501823879778385,0.013501823879778385,0.00148781829366398,0.001,0.9
14,0.013189384713768959,0.013189384713768959,0.0015653081579257405,0.001,0.9
15,0.012992971576750278,0.012992971576750278,0.0014900460729153468,0.001,0.9
16,0.012746541760861874,0.012746541760861874,0.001432828642536758,0.001,0.9
17,0.012572286650538445,0.012572286650538445,0.0014128544428365474,0.001,0.9
18,0.012348631396889687,0.012348631396889687,0.00134706941569525,0.001,0.9
19,0.012171151116490364,0.012171151116490364,0.0013879704514742567,0.001,0.9
20,0.012089008465409279,0.012089008465409279,0.0013528348569918107,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0624815858900547,0.0624815858900547,0.05779001131164418,0.001,0.9
2,0.029764335602521896,0.029764335602521896,0.0038841044397976057,0.001,0.9
3,0.023532172664999962,0.023532172664999962,0.002729457780130212,0.001,0.9
4,0.020566141232848167,0.020566141232848167,0.0023224526248452402,0.001,0.9
5,0.01874650828540325,0.01874650828540325,0.0020961353504528246,0.001,0.9
6,0.017435913905501366,0.017435913905501366,0.0020238639195176507,0.001,0.9
7,0.016523327678442,0.016523327678442,0.0017685966819996589,0.001,0.9
8,0.01573614962399006,0.01573614962399006,0.0017106118621187502,0.001,0.9
9,0.015145808458328247,0.015145808458328247,0.0017586366455700697,0.001,0.9
10,0.014663866721093655,0.014663866721093655,0.0016018361913869308,0.001,0.9
11,0.014143393374979496,0.014143393374979496,0.00160802577722988,0.001,0.9
12,0.013807090930640697,0.013807090930640697,0.00154311176161836,0.001,0.9
13,0.013501823879778385,0.013501823879778385,0.00148781829366398,0.001,0.9
14,0.013189384713768959,0.013189384713768959,0.0015653081579257405,0.001,0.9
15,0.012992971576750278,0.012992971576750278,0.0014900460729153468,0.001,0.9
16,0.012746541760861874,0.012746541760861874,0.001432828642536758,0.001,0.9
17,0.012572286650538445,0.012572286650538445,0.0014128544428365474,0.001,0.9
18,0.012348631396889687,0.012348631396889687,0.00134706941569525,0.001,0.9
19,0.012171151116490364,0.012171151116490364,0.0013879704514742567,0.001,0.9
20,0.012089008465409279,0.012089008465409279,0.0013528348569918107,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0624815858900547,0.0624815858900547,0.05779001131164418,0.001,0.9
2,0.029764335602521896,0.029764335602521896,0.0038841044397976057,0.001,0.9
3,0.023532172664999962,0.023532172664999962,0.002729457780130212,0.001,0.9
4,0.020566141232848167,0.020566141232848167,0.0023224526248452402,0.001,0.9
5,0.01874650828540325,0.01874650828540325,0.0020961353504528246,0.001,0.9
6,0.017435913905501366,0.017435913905501366,0.0020238639195176507,0.001,0.9
7,0.016523327678442,0.016523327678442,0.0017685966819996589,0.001,0.9
8,0.01573614962399006,0.01573614962399006,0.0017106118621187502,0.001,0.9
9,0.015145808458328247,0.015145808458328247,0.0017586366455700697,0.001,0.9
10,0.014663866721093655,0.014663866721093655,0.0016018361913869308,0.001,0.9
11,0.014143393374979496,0.014143393374979496,0.00160802577722988,0.001,0.9
12,0.013807090930640697,0.013807090930640697,0.00154311176161836,0.001,0.9
13,0.013501823879778385,0.013501823879778385,0.00148781829366398,0.001,0.9
14,0.013189384713768959,0.013189384713768959,0.0015653081579257405,0.001,0.9
15,0.012992971576750278,0.012992971576750278,0.0014900460729153468,0.001,0.9
16,0.012746541760861874,0.012746541760861874,0.001432828642536758,0.001,0.9
17,0.012572286650538445,0.012572286650538445,0.0014128544428365474,0.001,0.9
18,0.012348631396889687,0.012348631396889687,0.00134706941569525,0.001,0.9
19,0.012171151116490364,0.012171151116490364,0.0013879704514742567,0.001,0.9
20,0.012089008465409279,0.012089008465409279,0.0013528348569918107,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0624815858900547,0.0624815858900547,0.05779001131164418,0.001,0.9
2,0.029764335602521896,0.029764335602521896,0.0038841044397976057,0.001,0.9
3,0.023532172664999962,0.023532172664999962,0.002729457780130212,0.001,0.9
4,0.020566141232848167,0.020566141232848167,0.0023224526248452402,0.001,0.9
5,0.01874650828540325,0.01874650828540325,0.0020961353504528246,0.001,0.9
6,0.017435913905501366,0.017435913905501366,0.0020238639195176507,0.001,0.9
7,0.016523327678442,0.016523327678442,0.0017685966819996589,0.001,0.9
8,0.01573614962399006,0.01573614962399006,0.0017106118621187502,0.001,0.9
9,0.015145808458328247,0.015145808458328247,0.0017586366455700697,0.001,0.9
10,0.014663866721093655,0.014663866721093655,0.0016018361913869308,0.001,0.9
11,0.014143393374979496,0.014143393374979496,0.00160802577722988,0.001,0.9
12,0.013807090930640697,0.013807090930640697,0.00154311176161836,0.001,0.9
13,0.013501823879778385,0.013501823879778385,0.00148781829366398,0.001,0.9
14,0.013189384713768959,0.013189384713768959,0.0015653081579257405,0.001,0.9
15,0.012992971576750278,0.012992971576750278,0.0014900460729153468,0.001,0.9
16,0.012746541760861874,0.012746541760861874,0.001432828642536758,0.001,0.9
17,0.012572286650538445,0.012572286650538445,0.0014128544428365474,0.001,0.9
18,0.012348631396889687,0.012348631396889687,0.00134706941569525,0.001,0.9
19,0.012171151116490364,0.012171151116490364,0.0013879704514742567,0.001,0.9
20,0.012089008465409279,0.012089008465409279,0.0013528348569918107,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0624815858900547,0.0624815858900547,0.05779001131164418,0.001,0.9
2,0.029764335602521896,0.029764335602521896,0.0038841044397976057,0.001,0.9
3,0.023532172664999962,0.023532172664999962,0.002729457780130212,0.001,0.9
4,0.020566141232848167,0.020566141232848167,0.0023224526248452402,0.001,0.9
5,0.01874650828540325,0.01874650828540325,0.0020961353504528246,0.001,0.9
6,0.017435913905501366,0.017435913905501366,0.0020238639195176507,0.001,0.9
7,0.016523327678442,0.016523327678442,0.0017685966819996589,0.001,0.9
8,0.01573614962399006,0.01573614962399006,0.0017106118621187502,0.001,0.9
9,0.015145808458328247,0.015145808458328247,0.0017586366455700697,0.001,0.9
10,0.014663866721093655,0.014663866721093655,0.0016018361913869308,0.001,0.9
11,0.014143393374979496,0.014143393374979496,0.00160802577722988,0.001,0.9
12,0.013807090930640697,0.013807090930640697,0.00154311176161836,0.001,0.9
13,0.013501823879778385,0.013501823879778385,0.00148781829366398,0.001,0.9
14,0.013189384713768959,0.013189384713768959,0.0015653081579257405,0.001,0.9
15,0.012992971576750278,0.012992971576750278,0.0014900460729153468,0.001,0.9
16,0.012746541760861874,0.012746541760861874,0.001432828642536758,0.001,0.9
17,0.012572286650538445,0.012572286650538445,0.0014128544428365474,0.001,0.9
18,0.012348631396889687,0.012348631396889687,0.00134706941569525,0.001,0.9
19,0.012171151116490364,0.012171151116490364,0.0013879704514742567,0.001,0.9
20,0.012089008465409279,0.012089008465409279,0.0013528348569918107,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0624815858900547,0.0624815858900547,0.05779001131164418,0.001,0.9
2,0.029764335602521896,0.029764335602521896,0.0038841044397976057,0.001,0.9
3,0.023532172664999962,0.023532172664999962,0.002729457780130212,0.001,0.9
4,0.020566141232848167,0.020566141232848167,0.0023224526248452402,0.001,0.9
5,0.01874650828540325,0.01874650828540325,0.0020961353504528246,0.001,0.9
6,0.017435913905501366,0.017435913905501366,0.0020238639195176507,0.001,0.9
7,0.016523327678442,0.016523327678442,0.0017685966819996589,0.001,0.9
8,0.01573614962399006,0.01573614962399006,0.0017106118621187502,0.001,0.9
9,0.015145808458328247,0.015145808458328247,0.0017586366455700697,0.001,0.9
10,0.014663866721093655,0.014663866721093655,0.0016018361913869308,0.001,0.9
11,0.014143393374979496,0.014143393374979496,0.00160802577722988,0.001,0.9
12,0.013807090930640697,0.013807090930640697,0.00154311176161836,0.001,0.9
13,0.013501823879778385,0.013501823879778385,0.00148781829366398,0.001,0.9
14,0.013189384713768959,0.013189384713768959,0.0015653081579257405,0.001,0.9
15,0.012992971576750278,0.012992971576750278,0.0014900460729153468,0.001,0.9
16,0.012746541760861874,0.012746541760861874,0.001432828642536758,0.001,0.9
17,0.012572286650538445,0.012572286650538445,0.0014128544428365474,0.001,0.9
18,0.012348631396889687,0.012348631396889687,0.00134706941569525,0.001,0.9
19,0.012171151116490364,0.012171151116490364,0.0013879704514742567,0.001,0.9
20,0.012089008465409279,0.012089008465409279,0.0013528348569918107,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0624815858900547,0.0624815858900547,0.05779001131164418,0.001,0.9
2,0.029764335602521896,0.029764335602521896,0.0038841044397976057,0.001,0.9
3,0.023532172664999962,0.023532172664999962,0.002729457780130212,0.001,0.9
4,0.020566141232848167,0.020566141232848167,0.0023224526248452402,0.001,0.9
5,0.01874650828540325,0.01874650828540325,0.0020961353504528246,0.001,0.9
6,0.017435913905501366,0.017435913905501366,0.0020238639195176507,0.001,0.9
7,0.016523327678442,0.016523327678442,0.0017685966819996589,0.001,0.9
8,0.01573614962399006,0.01573614962399006,0.0017106118621187502,0.001,0.9
9,0.015145808458328247,0.015145808458328247,0.0017586366455700697,0.001,0.9
10,0.014663866721093655,0.014663866721093655,0.0016018361913869308,0.001,0.9
11,0.014143393374979496,0.014143393374979496,0.00160802577722988,0.001,0.9
12,0.013807090930640697,0.013807090930640697,0.00154311176161836,0.001,0.9
13,0.013501823879778385,0.013501823879778385,0.00148781829366398,0.001,0.9
14,0.013189384713768959,0.013189384713768959,0.0015653081579257405,0.001,0.9
15,0.012992971576750278,0.012992971576750278,0.0014900460729153468,0.001,0.9
16,0.012746541760861874,0.012746541760861874,0.001432828642536758,0.001,0.9
17,0.012572286650538445,0.012572286650538445,0.0014128544428365474,0.001,0.9
18,0.012348631396889687,0.012348631396889687,0.00134706941569525,0.001,0.9
19,0.012171151116490364,0.012171151116490364,0.0013879704514742567,0.001,0.9
20,0.012089008465409279,0.012089008465409279,0.0013528348569918107,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.08798392117023468,0.08798392117023468,0.07663624676427261,0.001,0.9
2,0.04408624768257141,0.04408624768257141,0.005240792473413182,0.001,0.9
3,0.03442629054188728,0.03442629054188728,0.003774444208999519,0.001,0.9
4,0.029197851195931435,0.029197851195931435,0.0030507625038160386,0.001,0.9
5,0.026100818067789078,0.026100818067789078,0.0026532185160532025,0.001,0.9
6,0.023762792348861694,0.023762792348861694,0.002541492496464021,0.001,0.9
7,0.022368960082530975,0.022368960082530975,0.002394437206107415,0.001,0.9
8,0.021086733788251877,0.021086733788251877,0.0022286514547147133,0.001,0.9
9,0.020039239898324013,0.020039239898324013,0.002303520955499956,0.001,0.9
10,0.01925763674080372,0.01925763674080372,0.0021269348051290624,0.001,0.9
11,0.01855192705988884,0.01855192705988884,0.001946587854511488,0.001,0.9
12,0.018043294548988342,0.018043294548988342,0.001868527800512983,0.001,0.9
13,0.017496228218078613,0.017496228218078613,0.001762015721286071,0.001,0.9
14,0.016989847645163536,0.016989847645163536,0.001929628563639601,0.001,0.9
15,0.01655178889632225,0.01655178889632225,0.0018101386645102537,0.001,0.9
16,0.01617485098540783,0.01617485098540783,0.0017879646087836573,0.001,0.9
17,0.015946635976433754,0.015946635976433754,0.0016901437521266841,0.001,0.9
18,0.015610931441187859,0.015610931441187859,0.0018281149110183565,0.001,0.9
19,0.015168560668826103,0.015168560668826103,0.0016264654479790572,0.001,0.9
20,0.015029111877083778,0.015029111877083778,0.001621836884175214,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.08366766571998596,0.08366766571998596,0.07238220869106679,0.001,0.9
2,0.04100020229816437,0.04100020229816437,0.005500236421321518,0.001,0.9
3,0.03181224688887596,0.03181224688887596,0.0036231903246539752,0.001,0.9
4,0.027244403958320618,0.027244403958320618,0.00279985187089242,0.001,0.9
5,0.024619128555059433,0.024619128555059433,0.0025155129273588287,0.001,0.9
6,0.022663384675979614,0.022663384675979614,0.0023524197671978744,0.001,0.9
7,0.021195542067289352,0.021195542067289352,0.002199412673526847,0.001,0.9
8,0.020002150908112526,0.020002150908112526,0.002072191438193192,0.001,0.9
9,0.01913115195930004,0.01913115195930004,0.0021061319778490225,0.001,0.9
10,0.018175439909100533,0.018175439909100533,0.0018903272459980577,0.001,0.9
11,0.017612023279070854,0.017612023279070854,0.001837387077809729,0.001,0.9
12,0.017174728214740753,0.017174728214740753,0.0020352896207249003,0.001,0.9
13,0.01648550108075142,0.01648550108075142,0.0018029309041384001,0.001,0.9
14,0.016131596639752388,0.016131596639752388,0.0016800661099116523,0.001,0.9
15,0.01573675312101841,0.01573675312101841,0.0016875160519754073,0.001,0.9
16,0.015432172454893589,0.015432172454893589,0.0016658820470561743,0.001,0.9
17,0.015072628855705261,0.015072628855705261,0.0016376045461875344,0.001,0.9
